code,signal,name
002206,突破回踩,海 利 得
000625,上升通道回踩,长安汽车
600610,突破回踩,中毅达
002855,突破回踩,捷荣技术
603060,突破回踩,国检集团
600926,上升通道回踩,杭州银行
601022,上升通道回踩,宁波远洋
002752,突破回踩,昇兴股份
600333,突破回踩,长春燃气
002995,突破回踩,天地在线
000902,上升通道回踩,新洋丰
000818,突破回踩,航锦科技
002471,突破回踩,中超控股
600006,上升通道回踩,东风股份
600064,上升通道回踩,南京高科
603320,突破回踩,迪贝电气
002027,上升通道回踩,分众传媒
600057,突破回踩,厦门象屿
600588,突破回踩,用友网络
002500,上升通道回踩,山西证券
600927,上升通道回踩,永安期货
002184,突破回踩,海得控制
600720,上升通道回踩,中交设计
002105,突破回踩,信隆健康
600202,突破回踩,哈空调
601801,上升通道回踩,皖新传媒
601615,突破回踩,明阳智能
002530,突破回踩,金财互联
600531,上升通道回踩,豫光金铅
603703,上升通道回踩,盛洋科技
002328,突破回踩,新朋股份
603081,突破回踩,大丰实业
002229,突破回踩,鸿博股份
600589,突破回踩,大位科技
603871,突破回踩,嘉友国际
002366,突破回踩,融发核电
605077,突破回踩,华康股份
600834,上升通道回踩,申通地铁
600903,突破回踩,贵州燃气
002406,突破回踩,远东传动
600480,上升通道回踩,凌云股份
603356,突破回踩,华菱精工
603680,突破回踩,今创集团
600000,上升通道回踩,浦发银行
003015,突破回踩,日久光电
600661,突破回踩,昂立教育
600776,突破回踩,东方通信
002351,上升通道回踩,漫步者
002469,上升通道回踩,三维化学
002878,突破回踩,元隆雅图
603528,突破回踩,多伦科技
600983,上升通道回踩,惠而浦
603602,突破回踩,纵横通信
603106,突破回踩,恒银科技
603206,突破回踩,嘉环科技
600510,突破回踩,黑牡丹
601111,上升通道回踩,中国国航
002973,突破回踩,侨银股份
002062,突破回踩,宏润建设
001387,突破回踩,雪祺电气
600318,突破回踩,新力金融
603214,突破回踩,爱婴室
603177,突破回踩,德创环保
601997,上升通道回踩,贵阳银行
002283,突破回踩,天润工业
605169,突破回踩,洪通燃气
600821,上升通道回踩,金开新能
002757,突破回踩,南兴股份
603385,突破回踩,惠达卫浴
002416,上升通道回踩,爱施德
002478,突破回踩,常宝股份
600590,突破回踩,泰豪科技
000803,突破回踩,山高环能
000922,突破回踩,佳电股份
603887,突破回踩,城地香江
000566,长线均线支撑,海南海药
600648,上升通道回踩,外高桥
600872,上升通道回踩,中炬高新
603817,突破回踩,海峡环保
002825,突破回踩,纳尔股份
002492,突破回踩,恒基达鑫
000949,突破回踩,新乡化纤
600335,上升通道回踩,国机汽车
002264,上升通道回踩,新 华 都
002403,突破回踩,爱仕达
603178,长线均线支撑,圣龙股份
603588,突破回踩,高能环境
601949,上升通道回踩,中国出版
600088,突破回踩,中视传媒
002875,突破回踩,安奈儿
000045,突破回踩,深纺织Ａ
002797,上升通道回踩,第一创业
601728,上升通道回踩,中国电信
600319,突破回踩,亚星化学
600452,上升通道回踩,涪陵电力
603212,突破回踩,赛伍技术
600505,上升通道回踩,西昌电力
002734,突破回踩,利民股份
603328,上升通道回踩,依顿电子
002386,突破回踩,天原股份
000795,突破回踩,英洛华
603810,突破回踩,丰山集团
002064,突破回踩,华峰化学
000524,突破回踩,岭南控股
000958,上升通道回踩,电投产融
601816,上升通道回踩,京沪高铁
002347,上升通道回踩,泰尔股份
601609,突破回踩,金田股份
002771,突破回踩,真视通
002998,突破回踩,优彩资源
002587,突破回踩,奥拓电子
002452,突破回踩,长高电新
601038,上升通道回踩,一拖股份
603886,突破回踩,元祖股份
601857,上升通道回踩,中国石油
600029,上升通道回踩,南方航空
601696,长线均线支撑,中银证券
600838,长线均线支撑,上海九百
603088,突破回踩,宁波精达
000899,上升通道回踩,赣能股份
600644,突破回踩,乐山电力
601117,上升通道回踩,中国化学
002176,突破回踩,江特电机
000590,突破回踩,启迪药业
600732,上升通道回踩,爱旭股份
603167,上升通道回踩,渤海轮渡
600973,突破回踩,宝胜股份
000758,突破回踩,中色股份
000065,上升通道回踩,北方国际
600730,突破回踩,中国高科
000983,突破回踩,山西焦煤
002642,上升通道回踩,荣联科技
002637,突破回踩,赞宇科技
601677,长线均线支撑,明泰铝业
603138,突破回踩,海量数据
600131,上升通道回踩,国网信通
002438,突破回踩,江苏神通
603719,突破回踩,良品铺子
002527,突破回踩,新时达
603166,突破回踩,福达股份
605555,突破回踩,德昌股份
601665,上升通道回踩,齐鲁银行
601177,突破回踩,杭齿前进
000815,突破回踩,美利云
002835,突破回踩,同为股份
002673,上升通道回踩,西部证券
000571,长线均线支撑,新大洲A
002343,突破回踩,慈文传媒
600694,上升通道回踩,大商股份
000009,突破回踩,中国宝安
002795,突破回踩,永和智控
002423,上升通道回踩,中粮资本
603042,突破回踩,华脉科技
603276,突破回踩,恒兴新材
000719,上升通道回踩,中原传媒
600099,突破回踩,林海股份
000852,上升通道回踩,石化机械
000936,突破回踩,华西股份
000599,突破回踩,青岛双星
002516,上升通道回踩,旷达科技
603408,上升通道回踩,建霖家居
002488,上升通道回踩,金固股份
000885,上升通道回踩,城发环境
002968,突破回踩,新大正
002609,突破回踩,捷顺科技
601699,突破回踩,潞安环能
002043,上升通道回踩,兔 宝 宝
002591,突破回踩,恒大高新
605066,突破回踩,天正电气
600676,上升通道回踩,交运股份
600650,突破回踩,锦江在线
600348,上升通道回踩,华阳股份
002232,突破回踩,启明信息
002057,突破回踩,中钢天源
002023,突破回踩,海特高新
603505,突破回踩,金石资源
600933,上升通道回踩,爱柯迪
600719,突破回踩,大连热电
002608,上升通道回踩,江苏国信
601222,上升通道回踩,林洋能源
002354,突破回踩,天娱数科
603898,上升通道回踩,好莱客
000967,突破回踩,盈峰环境
603558,上升通道回踩,健盛集团
002181,突破回踩,粤 传 媒
601026,上升通道回踩,道生天合
603768,突破回踩,常青股份
000655,突破回踩,金岭矿业
600233,长线均线支撑,圆通速递
603729,突破回踩,龙韵股份
002394,突破回踩,联发股份
600449,突破回踩,宁夏建材
000715,突破回踩,中兴商业
600382,突破回踩,广东明珠
000810,突破回踩,创维数字
002404,突破回踩,嘉欣丝绸
603429,长线均线支撑,集友股份
002461,上升通道回踩,珠江啤酒
002148,突破回踩,北纬科技
603332,突破回踩,苏州龙杰
002577,突破回踩,雷柏科技
002688,突破回踩,金河生物
601611,突破回踩,中国核建
603096,突破回踩,新经典
600795,上升通道回踩,国电电力
002383,突破回踩,合众思壮
601900,上升通道回踩,南方传媒
002152,上升通道回踩,广电运通
002532,突破回踩,天山铝业
601098,上升通道回踩,中南传媒
003013,突破回踩,地铁设计
000061,上升通道回踩,农 产 品
002845,突破回踩,同兴达
002584,长线均线支撑,西陇科学
600232,突破回踩,金鹰股份
600212,突破回踩,绿能慧充
603037,突破回踩,凯众股份
000712,突破回踩,锦龙股份
600516,上升通道回踩,方大炭素
002313,突破回踩,日海智能
603587,上升通道回踩,地素时尚
002298,突破回踩,中电鑫龙
600236,上升通道回踩,桂冠电力
600026,突破回踩,中远海能
603969,突破回踩,银龙股份
600215,突破回踩,派斯林
601766,上升通道回踩,中国中车
000001,上升通道回踩,平安银行
002705,突破回踩,新宝股份
001318,长线均线支撑,阳光乳业
002483,上升通道回踩,润邦股份
002003,上升通道回踩,伟星股份
002668,上升通道回踩,TCL智家
600894,上升通道回踩,广日股份
603335,突破回踩,迪生力
001366,突破回踩,播恩集团
600354,突破回踩,敦煌种业
000617,上升通道回踩,中油资本
003042,突破回踩,中农联合
601966,上升通道回踩,玲珑轮胎
002400,突破回踩,省广集团
600313,突破回踩,农发种业
000019,突破回踩,深粮控股
601311,上升通道回踩,骆驼股份
600476,突破回踩,湘邮科技
